Site,Long name,Start year,end year,# years,Primary PFT,Lat,Lon,MAT (CRU),MAP (CRU)
AT-Neu,Neustift,2002,2012,11,Arctic C3 grassland,47.1167,11.3175,6.760895,999.5414
AU-Tum,Tumbarumba,2001,2013,13,Temperate evergreen broadleaf,-35.6557,148.152,12.93521,783.2997
BE-Bra,Braaschaat,1996,2014,19,Temperate evergreen needleleaf,51.3092,4.5206,9.189117,789.1665
BE-Lon,Lonzee,2004,2014,11,Cropland,50.5522,4.7445,9.511292,779.5744
BE-Vie,Vielsam,1996,2014,19,Temperate evergreen needleleaf,50.3055,5.9968,9.009644,834.0096
BR-Sa1,Santarem km67,2002,2011,10,Tropical evergreen broadleaf,-2.8567,-54.9589,26.09207,2031.45
CA-Gro,Groundhog,2003,2014,12,Temperate evergreen needleleaf,48.2167,-82.1556,-0.1281128,815.9761
CA-TP1,Turkey Point 2002 white pine,2002,2014,13,Temperate evergreen needleleaf,42.6609,-80.5595,5.980682,960.6548
CA-TP3,Turkey Point 1974 white pine,2002,2014,13,Temperate evergreen needleleaf,42.7068,-80.3483,6.506561,906.2849
CZ-BK1,Beskidy,2004,2014,11,Temperate evergreen needleleaf,49.5026,18.5384,7.347687,684.773
DE-Gri,Grillenberg,2004,2014,11,C3 grassland,50.9495,12.5125,8.345093,474.727
DE-Hai,Hainich,2000,2012,13,Temperate deciduous broadleaf,51.0792,10.453,7.330078,625.4496
DE-Kli,Kingenberg,2004,2014,11,Cropland,50.8929,13.5125,8.324158,501.8524
DE-Tha,Tharandt,1996,2014,19,Temperate evergreen needleleaf,50.9636,13.5669,8.324158,501.8524
DK-Sor,Soroe,1996,2014,19,Temperate deciduous broadleaf,55.4869,11.6458,7.755646,538.9374
DK-ZaH,Zacekberg Heath,2000,2014,15,Deciduous shrub (wetland),74.4732,-20.5503,-13.25189,216.9479
ES-LJu,Llano de los Juanes,2004,2013,10,Deciduous shrub (wetland),36.9266,-2.7521,12.41833,388.4767
FI-Hyy,Hyytiala,1996,2014,19,Boreal evergreen needleleaf,61.8474,24.2848,2.119385,511.0188
FR-Fon,Fontainebleau,2005,2014,10,Deciduous broadleaf,48.4764,2.7801,10.64951,614.3445
FR-Gri,Grignon,2004,2014,11,Cropland,48.844,1.9524,10.45404,655.7229
